,title,author,rating,votes_count,students_count,level,duration,platform,free
133,今からでも基礎から学べるPythonによる自然言語処理（NLP）：現役データサイエンティストが教える「日本語」文書分類,Tomone Hata,3.9,134.0,1104,Beginner,9.5,Udemy,False
134,+ Saatlik Uçtan Uca İş Zekası Mühendisliği Kursu,Tarik Subaşı,4.6,217.0,3304,Beginner,30.5,Udemy,False
135,Forecasting the Sales using Time Series Analysis in Python,Exam Turf,3.0,1.0,409,Mixed,2.0,Udemy,False
136,Deep Convolutional Generative Adversarial Networks (DCGAN),Academy of Computing & Artificial Intelligence,3.7,20.0,84,Intermediate,2.5,Udemy,False
137,Google BigQuery guide for beginners,Lukas Vozda,3.9,25.0,109,Mixed,3.0,Udemy,False
138,Tuning Apache Spark: Powerful Big Data Processing Recipes,Packt Publishing,4.1,26.0,296,Beginner,12.0,Udemy,False
139,Artificial Intelligence & Machine Learning from scratch,Dr. Long Nguyen,4.7,71.0,1891,Mixed,6.5,Udemy,False
140,Machine Learning Classification Bootcamp in Python,"Dr. Ryan Ahmed, Ph.D., MBA",4.5,730.0,7088,Intermediate,11.5,Udemy,False
141,Data Science with R,Matthew Renze,5.0,442.0,,Beginner,2.5,Pluralsight,False
142,Designing a Data Warehouse on the Microsoft SQL Server Platform,Ana Voicu,5.0,91.0,,Beginner,4.6,Pluralsight,False
143,"PostgreSQL - Joins, Modifying Data, and Defining Tables",Will Bunker,3.3,6,86,Intermediate,2.2558333333333334,Skillshare,True
144,Excel Data Visualization Part : Advanced Demos,Chris Dutton,3.7,63,760,Advanced,2.0966666666666667,Skillshare,True
145,-day MATLAB and Python challenge,Mike X Cohen,0.0,0,61,Intermediate,0.97,Skillshare,True
146,Making Numerical Predictions for Time Series Data - Part /,Partha Majumdar,4.0,3,45,Mixed,6.119166666666667,Skillshare,True
147,Learning Spreadsheets for Beginners - Create a Quiz using Spreadsheets - Times Tables,Richard Poth,0.0,0,32,Beginner,0.38805555555555554,Skillshare,True
148,Mastering Python for absolute beginners,Muhammad Ali Yasin,3.0,3,14,Beginner,1.866111111111111,Skillshare,True
149,Create a Custom Map Chart Infographic in minutes,Filip Kordanovski,3.5,27,639,Beginner,0.17944444444444443,Skillshare,True
150,Analyze Data to Answer Questions,Google,4.6,2195.0,72000,Beginner,,Coursera,False
151,Getting Started with Data Visualization in R,Johns Hopkins University,4.8,119.0,6200,Beginner,,Coursera,False
152,"The Power of Machine Learning: Boost Business, Accumulate Clicks, Fight Fraud, and Deny Deadbeats",SAS,4.8,125.0,8900,Beginner,,Coursera,False
153,Sales Enablement & Analytics,QueensX,,,5140,Beginner,24.0,edX,True
154,Prérequis MACHINE LEARNING — Python | Numpy | Mathématiques,Rémi Connesson | Python - Data Science - Machine Learning - Deep Learning,4.5,25.0,182,Beginner,10.5,Udemy,False
