WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_7	Q6A_8	Q6A_9	Q6A_10	Q6A_11	Q6A_12	Q6A_13	Q6A_14	Q6A_15	Q6A_16	Q6A_17	Q6A_18	Q6A_19	Q6A_20	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9	Q10A_1	Q10A_2	Q10A_3	Q10A_5	Q10A_6	Q10A_7	Q10A_8	Q10A_9	Q10A_10	Q10A_11	Q10A_12	Q10A_13	Q10A_14	Q10A_15	Q10A_16	Q10A_17	Q10B_1	Q10B_2	Q10B_3	Q10B_5	Q10B_6	Q10B_7	Q10B_8	Q10B_9	Q10B_10	Q10B_11	Q10B_12	Q10B_13	Q10B_14	Q10B_15	Q10B_16	Q10B_17	Q11A_1	Q11A_2	Q11B_1	Q11B_2	Q12A_1	Q12A_2	Q12A_3	Q12A_4	Q12A_5	Q12A_6	Q12A_7	Q12A_8	Q12A_9	Q12A_10	Q12A_11	Q12A_12	Q12B_1	Q12B_2	Q13_1	Q13_2A	Q13_2B	Q13_2C	Q13_3	Q13_4	Q13_5	Q13_6	Q13_7	Q13_8	Q13_9	Q13_10	Q13_11	Q14A_1	Q14A_2	Q14B	Q14C_1	Q14C_2	Q14C_3	Q15A	Q15B	Q16	Q17	Q18	Q19	Q20A	Q20A_NS	Q20B_19	Q20B_20	Q20B_NS	Q20C_19	Q20C_20	Q20C_NS	Q22A_M	Q22A_W	Q22B	Q22C_M	Q22C_W
0.8107	3	2	17	2	7	1	7	18	NA	NA	7	1	8	9	7	8	6	6	7	7	9	6	5	8	5	5	6	8	6	8	5	4	6	2	7	1	NA	NA	0	23	NA	3	1	1	5	2	5	2	5	1	1	3	1	4	1	8	NA	NA	6	6	2	4	3	4	5	1	2	5	3	5	1	5	NA	NA	1	NA	9	NA	1	2	1	1	2	2	3	1	3	1	2	1	1	5	4	NA	NA	NA	2	2	1	3	4	4	2	2	5	2	1	1	11	NA	NA	3	4	60	2	1	2	NA	1	NA	NA	1	NA	NA	1	73	80	1	999	999
0.8107	3	1	3	1	7	22	16	32	48	1	52	1	7	5	3	7	5	3	7	5	5	3	3	3	0	3	3	0	3	5	3	3	99	NA	NA	1	NA	NA	99	18	NA	1	3	3	7	3	5	0	0	0	8	3	0	5	0	7	NA	NA	5	5	0	3	3	0	3	0	0	3	0	5	0	5	NA	NA	1	NA	1	NA	1	2	2	2	4	4	2	4	2	5	5	2	1	NA	4	NA	NA	NA	5	2	1	3	4	4	2	5	5	9	NA	2	NA	NA	NA	1	5	60	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	73	80	1	120	150
0.8107	3	1	NA	6	1	16	2	32	2	NA	3	NA	7	8	4	7	5	5	6	8	10	6	5	3	2	6	6	8	8	0	9	1	6	2	NA	1	NA	NA	0	27	NA	2	0	3	8	0	7	1	5	3	8	NA	0	2	0	5	NA	NA	7	7	2	2	6	2	5	2	2	8	7	7	2	9	NA	NA	1	NA	8	10	1	4	1	4	1	4	3	4	4	1	1	NA	1	NA	2	NA	NA	NA	1	1	2	1	2	2	1	5	5	2	1	2	NA	NA	NA	4	3	75	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	80	85	1	100	85
0.8107	3	1	2	7	NA	15	NA	99	NA	NA	14	53	10	10	5	8	10	4	10	10	10	8	10	7	6	8	8	9	9	6	10	7	99	NA	NA	1	NA	NA	0	29	NA	1	4	4	8	2	7	9	8	2	5	9	6	5	2	7	NA	NA	8	8	3	7	5	4	5	2	3	8	6	8	3	5	NA	NA	1	NA	3	NA	1	2	1	2	2	2	4	2	2	1	4	1	1	NA	2	NA	NA	NA	1	1	1	2	4	4	2	1	4	2	4	1	9	10	NA	4	1	70	1	1	1	NA	1	NA	NA	1	95	NA	NA	75	80	1	110	110
0.8107	3	3	NA	7	NA	16	39	5	3	30	3	NA	9	10	8	8	6	4	9	10	10	6	9	NA	5	10	9	8	8	10	9	10	8	NA	NA	1	NA	NA	99	25	NA	3	5	5	10	6	5	5	8	4	8	9	5	8	5	9	5	5	9	8	7	9	8	8	7	6	7	8	8	8	8	7	7	7	1	NA	2	NA	1	1	4	1	1	1	4	1	1	2	1	1	1	NA	4	4	2	1	2	2	1	4	4	4	2	1	4	2	4	1	6	8	7	4	4	75	2	2	3	NA	1	NA	0	NA	NA	NA	1	80	85	1	110	120
0.8107	3	3	NA	7	NA	44	NA	2	12	1	4	NA	10	10	5	4	8	6	10	8	10	5	4	2	4	8	5	5	3	8	4	6	8	NA	NA	1	NA	96	NA	15	17	1	5	3	4	6	2	2	3	2	2	5	2	4	2	5	4	3	7	5	2	8	2	4	3	2	2	6	6	4	5	5	7	3	1	NA	1	NA	2	1	1	2	4	4	2	1	1	2	2	1	1	NA	4	3	2	2	1	2	1	5	4	4	2	1	4	1	3	1	5	NA	NA	2	1	50	2	3	2	540	NA	95	NA	NA	NA	NA	NA	73	80	1	110	110
0.8107	3	2	NA	1	2	33	34	2	3	NA	3	NA	9	8	6	7	7	4	4	8	9	4	8	6	3	4	4	7	5	7	5	6	99	NA	NA	1	NA	NA	0	14	NA	1	0	0	7	2	6	6	6	2	6	7	1	6	1	6	NA	NA	3	3	3	3	4	3	6	3	3	6	3	3	3	3	NA	NA	1	NA	3	NA	3	1	3	1	4	4	1	4	1	2	2	2	NA	NA	3	NA	NA	NA	2	2	3	3	3	4	4	2	5	9	10	1	3	4	NA	1	1	60	1	2	2	200	NA	91	NA	NA	NA	NA	NA	75	80	1	120	120
0.8107	3	1	NA	1	4	16	NA	1	14	32	48	1	8	9	6	5	9	6	5	5	10	9	7	8	6	7	5	8	6	9	8	5	99	NA	NA	1	NA	95	NA	14	NA	1	3	4	9	4	9	5	5	4	9	6	4	5	4	8	NA	NA	8	8	5	7	8	5	5	3	6	5	8	7	5	6	1	NA	4	NA	NA	NA	1	2	2	1	2	4	4	2	2	1	1	1	1	NA	2	NA	NA	NA	1	2	4	3	4	4	4	2	3	1	10	2	NA	NA	NA	3	3	80	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	85	85	1	105	105
0.8107	3	2	1	12	2	27	9	1	3	6	1	7	8	7	2	2	5	5	8	8	8	3	5	1	1	1	2	3	2	5	2	1	99	NA	NA	1	3	NA	11	28	NA	3	4	4	7	5	7	8	8	5	8	7	3	3	2	7	8	5	8	9	2	2	2	2	2	2	2	3	6	5	2	3	5	5	1	NA	11	NA	2	2	4	4	2	2	3	4	2	1	1	2	1	NA	4	2	1	1	1	2	2	2	4	4	2	4	5	4	2	1	2	NA	NA	4	NA	60	2	1	1	NA	1	NA	0	NA	95	NA	NA	76	83	1	120	120
0.8107	3	2	NA	1	7	1	NA	99	NA	NA	1	NA	10	8	10	8	8	5	8	10	10	8	8	7	6	6	5	5	7	4	10	8	2	NA	NA	1	4	91	NA	1	NA	1	2	3	7	5	7	10	8	2	5	8	2	7	2	2	5	2	9	9	5	7	7	2	7	5	3	3	8	9	5	8	8	8	1	NA	3	12	1	3	1	1	2	2	2	2	1	1	1	2	1	NA	1	3	1	1	1	1	3	3	3	3	2	3	4	8	NA	2	NA	NA	NA	4	5	75	3	1	2	1000	NA	NA	NA	1	91	NA	NA	100	100	1	100	100
0.8107	3	3	NA	7	1	16	2	1	10	4	1	2	10	9	NA	7	8	4	5	5	8	6	8	5	4	5	6	5	6	6	5	6	9	10	NA	1	NA	NA	10	24	1	1	3	2	7	0	3	5	4	3	4	7	3	4	2	4	5	0	6	7	5	5	6	3	5	4	3	6	7	7	5	5	6	6	1	NA	1	13	1	4	2	4	4	2	6	2	2	2	2	2	1	NA	4	4	2	2	2	2	2	3	4	4	2	4	4	1	7	2	NA	NA	NA	3	3	57	3	2	1	2000	NA	92	NA	NA	92	NA	NA	72	79	1	80	85
0.8107	3	1	NA	1	NA	98	NA	3	6	1	98	NA	7	7	5	6	7	3	7	6	6	3	8	7	8	NA	7	6	9	6	8	7	99	NA	NA	1	NA	2	NA	18	25	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	98	NA	2	2	2	2	2	2	1	2	2	1	1	1	1	NA	3	5	2	1	1	2	2	3	4	4	3	6	6	98	NA	NA	NA	NA	NA	3	2	999	2	2	1	NA	1	NA	NA	1	NA	NA	1	72	79	1	999	999
0.8107	3	2	NA	7	2	2	97	10	11	NA	1	25	10	9	7	5	5	2	5	10	10	8	6	8	5	2	4	6	9	4	9	6	99	NA	NA	1	6	NA	0	1	28	3	2	2	5	2	4	4	4	1	5	NA	2	5	1	2	2	1	9	9	5	2	5	2	5	1	6	NA	5	5	3	5	5	6	1	NA	1	NA	2	2	1	2	4	4	2	4	2	2	1	1	1	NA	2	2	2	2	4	2	2	4	3	4	4	2	5	2	4	2	NA	NA	NA	4	3	70	2	2	2	1000	NA	NA	0	NA	NA	0	NA	81	88	1	110	110
