WEIGHT	COL5	Q1_1	Q1_2	Q2_1	Q2_2	Q3_1	Q3_2	Q4_1	Q4_2	Q4_3	Q5_1	Q5_2	Q6A_1	Q6A_2	Q6A_3	Q6A_4	Q6A_5	Q6A_6	Q6A_8	Q6A_9	Q6A_11	Q6A_12	Q6A_13	Q6A_15	Q6B_1	Q6B_2	Q6B_3	Q7A_1	Q7A_2	Q7B_19	Q7B_20	Q8_1	Q8_2	Q9A_1	Q9A_2	Q9A_3	Q9A_4	Q9A_5	Q9A_6	Q9A_7	Q9A_8	Q9A_9	Q9A_10	Q9A_11	Q9A_12	Q9A_13	Q9A_14	Q9A_15	Q9A_16	Q9A_17	Q9B_1	Q9B_2	Q9B_3	Q9B_4	Q9B_5	Q9B_6	Q9B_7	Q9B_8	Q9B_9	Q9B_10	Q9B_11	Q9B_12	Q9B_13	Q9B_14	Q9B_15	Q9B_16	Q9B_17	Q10A_1	Q10A_2	Q10B_1	Q10B_2	Q10C_1	Q10C_2	Q11A_1	Q11A_2	Q11A_3	Q11B	Q11C_1	Q11C_2	Q11C_3	Q15	Q16	Q17	Q18	Q19_1	Q19_2	Q19_3	Q19_4	Q19_5	Q19_6	Q20_1	Q20_2	Q21_1	Q21_2	Q23A_M	Q23A_W	Q23B	Q23C_M	Q23C_W
0.6359	6	5	4	1	7	2	NA	5	30	19	25	NA	10	5	10	5	10	9	10	3	8	5	10	5	21	NA	NA	1	NA	NA	20	1	NA	5	2	8	5	5	6	0	0	1	0	1	5	2	2	2	0	NA	6	8	4	8	8	2	8	0	0	0	8	9	5	4	7	5	NA	99	NA	10	NA	17	NA	33	NA	NA	2	NA	NA	NA	1	1	2	2	1	3	3	1	1	3	2	NA	2	NA	76	82	1	999	999
0.6359	6	15	28	18	19	43	NA	99	NA	NA	30	NA	10	4	6	5	5	8	4	2	8	1	1	8	25	NA	NA	1	NA	NA	45	22	NA	3	1	1	2	6	2	4	2	1	2	1	1	0	1	2	3	NA	7	7	6	6	3	0	3	3	2	4	3	2	0	2	1	4	NA	4	NA	9	4	5	NA	13	NA	NA	2	NA	NA	NA	3	2	2	2	2	3	3	1	3	3	6	NA	6	NA	73	79	1	85	85
0.6359	6	19	9	10	23	2	NA	17	36	37	35	5	6	9	8	10	10	9	7	2	4	3	4	2	2	NA	NA	5	NA	NA	0	1	24	10	10	4	2	4	7	5	1	1	2	4	3	5	5	2	7	NA	10	10	10	7	7	5	1	1	1	2	6	4	5	7	4	5	NA	5	NA	16	2	13	1	98	NA	NA	NA	NA	NA	NA	NA	1	1	2	1	1	1	1	2	2	99	NA	99	NA	75	79	1	80	80
0.6359	6	10	NA	22	NA	10	NA	38	NA	NA	36	NA	8	7	10	10	5	7	10	7	5	10	5	4	22	NA	NA	8	NA	NA	5	17	NA	8	3	7	10	3	5	1	8	1	6	8	6	8	6	9	6	2	6	8	7	7	10	5	9	3	8	2	8	9	6	10	7	7	3	9	NA	13	NA	3	NA	10	11	12	2	NA	NA	NA	2	1	1	2	1	1	2	1	3	1	15	NA	15	NA	79	84	2	NA	NA
0.6359	6	9	NA	11	12	3	38	31	32	2	2	3	6	2	NA	5	5	2	3	1	1	3	3	6	2	NA	NA	98	NA	NA	NA	48	NA	6	0	0	5	9	3	2	3	0	5	NA	2	1	1	2	2	3	5	3	2	3	8	3	4	2	0	5	2	2	10	3	4	2	4	98	NA	98	NA	98	NA	98	NA	NA	NA	NA	NA	NA	NA	2	2	2	4	3	3	3	3	3	1	11	1	11	72	79	1	98	100
0.6359	6	1	NA	10	8	45	47	39	40	NA	98	NA	7	7	5	NA	5	NA	3	NA	3	NA	NA	2	99	NA	NA	6	NA	2	NA	65	NA	5	3	2	2	8	5	0	NA	NA	NA	NA	NA	NA	NA	NA	3	0	5	4	4	3	4	3	3	8	NA	NA	NA	NA	2	NA	2	1	5	98	NA	98	NA	3	NA	98	NA	NA	NA	NA	NA	NA	2	1	3	3	2	2	3	2	2	2	2	NA	2	NA	999	999	1	999	999
0.6359	6	1	21	16	13	38	NA	99	NA	NA	1	2	7	5	5	7	6	7	7	2	9	1	8	7	2	NA	NA	15	NA	99	NA	26	1	7	7	5	8	8	6	3	1	1	4	4	5	4	4	2	1	4	6	7	5	9	7	5	1	0	0	2	4	3	4	1	1	1	3	2	NA	5	NA	3	NA	6	NA	NA	2	NA	NA	NA	1	1	2	2	3	4	2	2	3	3	10	NA	10	NA	74	85	1	90	90
0.6359	6	1	NA	8	NA	45	23	99	NA	NA	29	NA	7	3	8	8	2	9	3	8	8	2	2	1	20	NA	NA	2	8	3	NA	14	NA	5	4	6	4	6	3	2	2	2	1	2	1	1	1	1	8	3	5	2	3	5	6	2	3	1	1	1	2	2	2	4	4	1	2	2	1	4	2	3	NA	9	NA	NA	1	3	NA	NA	2	1	1	1	2	2	3	2	2	3	99	NA	99	NA	81	82	1	110	110
0.6359	6	10	9	7	3	10	27	41	NA	NA	3	7	8	6	9	8	4	9	8	7	4	7	6	5	21	24	25	7	NA	NA	6	22	1	3	3	4	5	5	7	3	5	4	3	3	6	2	5	7	3	2	2	2	4	4	2	6	3	4	2	3	4	3	5	2	2	1	1	4	NA	2	17	14	15	27	12	NA	2	NA	NA	NA	NA	1	1	2	2	1	3	2	2	2	3	NA	3	NA	999	999	3	NA	NA
0.6359	6	2	29	7	1	97	NA	18	NA	NA	27	13	10	9	9	9	9	7	8	7	7	2	7	9	11	28	29	1	NA	NA	86	68	1	6	7	5	4	7	7	2	0	0	2	3	2	5	0	0	0	0	6	7	6	6	7	7	5	0	2	4	5	5	7	0	4	4	5	3	4	11	NA	2	23	42	43	NA	2	NA	NA	NA	3	1	1	1	1	1	1	1	1	3	7	NA	7	NA	73	80	1	120	130
0.6359	6	2	4	20	NA	15	NA	98	NA	NA	25	NA	9	7	8	8	9	9	7	6	7	1	6	8	22	NA	NA	8	18	NA	25	45	NA	5	5	4	5	2	4	5	4	4	2	3	4	1	4	2	0	0	5	7	4	7	5	6	3	1	1	0	3	7	0	1	0	0	8	4	NA	22	NA	11	NA	41	NA	NA	3	NA	NA	NA	2	1	2	2	2	2	3	2	3	3	2	NA	2	NA	80	88	1	120	125
0.6359	6	2	NA	NA	NA	43	15	1	NA	NA	2	NA	6	9	5	9	8	7	4	5	4	2	9	8	7	30	31	17	NA	NA	6	1	NA	5	4	3	5	6	3	2	0	0	0	1	0	0	0	0	0	0	7	2	3	8	6	2	9	0	0	0	5	8	1	0	2	0	0	6	NA	8	NA	99	NA	40	NA	NA	3	NA	NA	NA	NA	2	2	2	3	2	2	1	2	3	98	NA	98	NA	75	78	1	120	120
